2025-10-21->00:05 | 00:05:01  
2025-10-21->00:15 | 00:15:07 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:07 ...... buscando en directorio 0049 - Mi Banco
2025-10-21->00:15 | 00:15:08 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:08 ...... buscando en directorio 0053 - GNB
2025-10-21->00:15 | 00:15:08 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:08 ...... buscando en directorio 0054 - Falabella
2025-10-21->00:15 | 00:15:09 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:09 ...... buscando en directorio 0055 - Ripley
2025-10-21->00:15 | 00:15:09 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:09 ...... buscando en directorio 0056 - Santander
2025-10-21->00:15 | 00:15:09 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:09 ...... buscando en directorio 0058 - Alfin
2025-10-21->00:15 | 00:15:10 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:10 ...... buscando en directorio 0073 - Credinka
2025-10-21->00:15 | 00:15:10 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:10 ...... buscando en directorio 0091 - Compartamos
2025-10-21->00:15 | 00:15:11 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:11 ...... buscando en directorio 0094 - Oh
2025-10-21->00:15 | 00:15:11 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:11 ...... buscando en directorio 0096 - Efectiva
2025-10-21->00:15 | 00:15:12 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:12 ...... buscando en directorio 0099 - Confianza
2025-10-21->00:15 | 00:15:12 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:12 ...... buscando en directorio 0775 - Luqea
2025-10-21->00:15 | 00:15:12 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:12 ...... buscando en directorio 0776 - Prexpe
2025-10-21->00:15 | 00:15:13 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:13 ...... buscando en directorio 0800 - CMAC Metropolitana
2025-10-21->00:15 | 00:15:13 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:13 ...... buscando en directorio 0801 - CMAC Piura
2025-10-21->00:15 | 00:15:14 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:14 ...... buscando en directorio 0802 - CMAC Trujillo
2025-10-21->00:15 | 00:15:14 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:14 ...... buscando en directorio 0803 - CMAC Arequipa
2025-10-21->00:15 | 00:15:15 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:15 ...... buscando en directorio 0805 - CMAC Sullana
2025-10-21->00:15 | 00:15:15 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:15 ...... buscando en directorio 0806 - CMAC Cuzco
2025-10-21->00:15 | 00:15:15 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:16 ...... buscando en directorio 0808 - CMAC Huancayo
2025-10-21->00:15 | 00:15:16 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:16 ...... buscando en directorio 0809 - CMAC Ica
2025-10-21->00:15 | 00:15:16 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:16 ...... buscando en directorio 0813 - CMAC Tacna
2025-10-21->00:15 | 00:15:17 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:17 ...... buscando en directorio 0849 - CMAC Los andes
2025-10-21->00:15 | 00:15:17 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:17 ...... buscando en directorio 0910 - Coop Abaco
2025-10-21->00:15 | 00:15:18 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:18 ...... buscando en directorio 0921 - Tarjetas Peruanas
2025-10-21->00:15 | 00:15:18 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:18 ...... buscando en directorio 0922 - GMoney
2025-10-21->00:15 | 00:15:18 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:18 ... 
2025-10-21->00:15 | 00:15:18 ... procesando los archivos ctl encontrados
