2025-10-20->00:00 | 00:00:02  
2025-10-20->00:20 | 00:20:12 ......... sin archivos a procesar.
2025-10-20->00:20 | 00:20:12 ...... buscando en directorio 0775 - Luqea
2025-10-20->00:20 | 00:20:13 ......... sin archivos a procesar.
2025-10-20->00:20 | 00:20:13 ...... buscando en directorio 0776 - Prexpe
2025-10-20->00:20 | 00:20:13 ......... sin archivos a procesar.
2025-10-20->00:20 | 00:20:13 ...... buscando en directorio 0800 - CMAC Metropolitana
2025-10-20->00:20 | 00:20:14 ......... sin archivos a procesar.
2025-10-20->00:20 | 00:20:14 ...... buscando en directorio 0801 - CMAC Piura
2025-10-20->00:20 | 00:20:14 ......... sin archivos a procesar.
2025-10-20->00:20 | 00:20:14 ...... buscando en directorio 0802 - CMAC Trujillo
2025-10-20->00:20 | 00:20:14 ......... sin archivos a procesar.
2025-10-20->00:20 | 00:20:14 ...... buscando en directorio 0803 - CMAC Arequipa
2025-10-20->00:20 | 00:20:15 ......... sin archivos a procesar.
2025-10-20->00:20 | 00:20:15 ...... buscando en directorio 0805 - CMAC Sullana
2025-10-20->00:20 | 00:20:15 ......... sin archivos a procesar.
2025-10-20->00:20 | 00:20:15 ...... buscando en directorio 0806 - CMAC Cuzco
2025-10-20->00:20 | 00:20:16 ......... sin archivos a procesar.
2025-10-20->00:20 | 00:20:16 ...... buscando en directorio 0808 - CMAC Huancayo
2025-10-20->00:20 | 00:20:16 ......... sin archivos a procesar.
2025-10-20->00:20 | 00:20:16 ...... buscando en directorio 0809 - CMAC Ica
2025-10-20->00:20 | 00:20:17 ......... sin archivos a procesar.
2025-10-20->00:20 | 00:20:17 ...... buscando en directorio 0813 - CMAC Tacna
2025-10-20->00:20 | 00:20:17 ......... sin archivos a procesar.
2025-10-20->00:20 | 00:20:17 ...... buscando en directorio 0849 - CMAC Los Andes
2025-10-20->00:20 | 00:20:17 ......... sin archivos a procesar.
2025-10-20->00:20 | 00:20:17 ...... buscando en directorio 0910 - Coop Abaco
2025-10-20->00:20 | 00:20:18 ......... sin archivos a procesar.
2025-10-20->00:20 | 00:20:18 ...... buscando en directorio 0921 - Tarjetas Peruanas
2025-10-20->00:20 | 00:20:18 ......... sin archivos a procesar.
2025-10-20->00:20 | 00:20:18 ...... buscando en directorio 0922 - GMoney
